Date,Line_Revenue
2011-06-25,0.0
2011-06-26,7082.49
2011-06-27,13412.2
2011-06-28,30532.37
2011-06-29,12570.63
2011-06-30,41743.04
2011-07-01,12189.29
2011-07-02,0.0
2011-07-03,6032.39
2011-07-04,30985.170000000002
2011-07-05,25992.260000000002
2011-07-06,22960.48
2011-07-07,27893.66
2011-07-08,17558.3
2011-07-09,0.0
2011-07-10,5993.87
2011-07-11,20080.03
2011-07-12,17948.19
2011-07-13,19432.85
2011-07-14,32020.91
2011-07-15,11857.3
2011-07-16,0.0
2011-07-17,16958.6
2011-07-18,22018.36
2011-07-19,46599.08
2011-07-20,27076.97
2011-07-21,30394.71
2011-07-22,14633.77
2011-07-23,0.0
2011-07-24,26796.920000000002
2011-07-25,19687.31
2011-07-26,17293.001
2011-07-27,22855.32
2011-07-28,54198.37
2011-07-29,17240.61
2011-07-30,0.0
2011-07-31,33393.29
2011-08-01,19808.4
2011-08-02,20277.05
2011-08-03,26617.77
2011-08-04,62079.61
2011-08-05,19825.4
2011-08-06,0.0
2011-08-07,7576.96
2011-08-08,19758.62
2011-08-09,25957.12
2011-08-10,19861.56
2011-08-11,54386.17
2011-08-12,17970.170000000002
2011-08-13,0.0
2011-08-14,5718.57
2011-08-15,17243.97
2011-08-16,16077.84
2011-08-17,48769.64
2011-08-18,54082.81
2011-08-19,17339.59
2011-08-20,0.0
2011-08-21,14566.84
2011-08-22,29623.18
2011-08-23,22399.11
2011-08-24,38617.01
2011-08-25,22495.29
2011-08-26,24111.64
2011-08-27,0.0
2011-08-28,10805.03
2011-08-29,0.0
2011-08-30,8833.710000000001
2011-08-31,20540.84
2011-09-01,37370.15
2011-09-02,30297.05
2011-09-03,0.0
2011-09-04,17005.03
2011-09-05,35698.7
2011-09-06,25495.82
2011-09-07,21967.420000000002
2011-09-08,23188.3
2011-09-09,25142.15
2011-09-10,0.0
2011-09-11,35511.67
2011-09-12,27989.4
2011-09-13,48162.25
2011-09-14,22027.95
2011-09-15,71993.67
2011-09-16,23248.98
2011-09-17,0.0
2011-09-18,15745.73
2011-09-19,46607.22
2011-09-20,103435.81
2011-09-21,38503.06
2011-09-22,57869.36
2011-09-23,31781.1
2011-09-24,0.0
2011-09-25,31372.661
2011-09-26,29329.841
2011-09-27,29274.36
2011-09-28,39057.89
2011-09-29,44729.37
2011-09-30,40033.44
2011-10-01,0.0
2011-10-02,11582.95
2011-10-03,62275.95
2011-10-04,38690.2
2011-10-05,74108.43
2011-10-06,60387.8
2011-10-07,49187.67
2011-10-08,0.0
2011-10-09,12466.81
2011-10-10,43080.32
2011-10-11,46436.77
2011-10-12,27731.37
2011-10-13,33039.18
2011-10-14,32124.68
2011-10-15,0.0
2011-10-16,22010.96
2011-10-17,47005.24
2011-10-18,37302.4
2011-10-19,37333.52
2011-10-20,61064.06
2011-10-21,60417.26
2011-10-22,0.0
2011-10-23,12339.16
2011-10-24,39315.28
2011-10-25,36235.95
2011-10-26,34435.32
2011-10-27,55837.14
2011-10-28,37290.57
2011-10-29,0.0
2011-10-30,34571.23
2011-10-31,33048.57
2011-11-01,29132.81
2011-11-02,38734.7
2011-11-03,60672.11
2011-11-04,56099.24
2011-11-05,0.0
2011-11-06,42941.340000000004
2011-11-07,28779.24
2011-11-08,38295.12
2011-11-09,61489.18
2011-11-10,70513.29
2011-11-11,37081.37
2011-11-12,0.0
2011-11-13,28607.78
2011-11-14,58777.71
2011-11-15,47729.0
2011-11-16,48439.76
2011-11-17,55885.3
2011-11-18,36751.25
2011-11-19,0.0
2011-11-20,30190.920000000002
2011-11-21,45333.13
2011-11-22,49664.89
2011-11-23,71979.93
2011-11-24,38579.11
2011-11-25,26674.66
2011-11-26,0.0
2011-11-27,17300.96
2011-11-28,51831.67
2011-11-29,48851.68
2011-11-30,41481.23
2011-12-01,44533.99
2011-12-02,44713.69
2011-12-03,0.0
2011-12-04,20375.96
2011-12-05,58202.21
2011-12-06,46144.04
2011-12-07,69354.21
2011-12-08,50519.41
2011-12-09,184349.28
