CustomerID,Recency,Frequency,Monetary,Return_Value,Net_Monetary,R_Score,F_Score,M_Score,Customer_Segment
12409,79,3,11072.67,15.74,11056.93,2,3,5,At Risk
12410,309,2,693.3299999999999,12.25,681.0799999999999,1,2,3,At Risk
12412,75,3,1226.88,0.0,1226.88,2,3,4,At Risk
12413,67,3,758.1,63.95,694.15,3,3,3,Loyal Customers
12414,217,3,562.41,0.0,562.41,1,3,3,At Risk
12415,24,21,124914.53,1189.08,123725.45,4,5,5,Champions
12417,3,9,3649.1,70.3,3578.7999999999997,5,5,5,Champions
12418,113,1,668.58,0.0,668.58,2,1,3,At Risk
12420,64,1,600.39,0.0,600.39,3,1,3,Hibernating / Lost
12421,16,4,807.04,0.77,806.27,4,4,3,Loyal Customers
12422,96,3,803.5600000000001,0.0,803.5600000000001,2,3,3,At Risk
12423,1,8,1859.31,10.2,1849.11,5,5,4,Champions
12424,163,2,1760.96,0.0,1760.96,2,2,4,At Risk
12425,78,1,777.2,0.0,777.2,2,1,3,At Risk
12426,195,1,582.73,0.0,582.73,1,1,3,At Risk
12427,22,3,825.8,117.42999999999999,708.37,4,3,3,Loyal Customers
12428,26,9,7956.46,79.26,7877.2,4,5,5,Champions
12429,9,4,3750.4,0.0,3750.4,5,4,5,Champions
12430,43,1,256.4,0.0,256.4,3,1,2,Hibernating / Lost
12431,36,15,6487.45,71.06,6416.389999999999,3,5,5,Loyal Customers
12432,43,5,5059.32,0.0,5059.32,3,4,5,Loyal Customers
12433,1,7,13375.87,0.0,13375.87,5,5,5,Champions
12434,85,2,806.14,40.949999999999996,765.1899999999999,2,2,3,At Risk
12435,80,2,7829.89,0.0,7829.89,2,2,5,At Risk
12436,100,1,509.01,0.0,509.01,2,1,3,At Risk
12437,2,18,4951.41,54.75,4896.66,5,5,5,Champions
12438,14,2,2906.85,0.0,2906.85,4,2,5,Hibernating / Lost
12441,367,1,173.55,0.0,173.55,1,1,1,Hibernating / Lost
12442,3,1,172.06,0.0,172.06,5,1,1,Hibernating / Lost
12444,21,5,5005.46,0.0,5005.46,4,4,5,Champions
12445,22,1,133.4,0.0,133.4,4,1,1,Hibernating / Lost
12446,58,1,1002.3100000000001,0.0,1002.3100000000001,3,1,4,Hibernating / Lost
12447,243,1,476.49,0.0,476.49,1,1,3,At Risk
12448,44,1,449.45,0.0,449.45,3,1,2,Hibernating / Lost
12449,22,4,4067.29,0.0,4067.29,4,4,5,Champions
12450,156,2,197.88,0.0,197.88,2,2,1,Hibernating / Lost
12451,11,5,9035.52,102.0,8933.52,5,4,5,Champions
12452,17,2,430.57,2.0,428.57,4,2,2,Hibernating / Lost
12453,134,1,707.09,0.0,707.09,2,1,3,At Risk
12454,56,1,3528.34,3528.3399999999997,4.547473508864641e-13,3,1,1,Hibernating / Lost
12455,73,6,2466.86,0.0,2466.86,2,4,5,At Risk
12456,44,3,3181.04,27.15,3153.89,3,3,5,Loyal Customers
12457,66,7,2363.23,445.45,1917.78,3,5,4,Loyal Customers
12458,71,2,947.4,0.0,947.4,3,2,4,Hibernating / Lost
12461,94,2,826.88,0.0,826.88,2,2,3,At Risk
12462,19,2,1189.59,65.58,1124.01,4,2,4,Hibernating / Lost
12463,53,4,1344.78,41.15,1303.6299999999999,3,4,4,Loyal Customers
12464,10,8,1212.05,0.0,1212.05,5,5,4,Champions
12465,17,2,742.1899999999999,8.3,733.89,4,2,3,Hibernating / Lost
12468,188,2,729.5400000000001,5.5,724.0400000000001,1,2,3,At Risk
12471,2,30,19824.05,1083.1299999999999,18740.92,5,5,5,Champions
12472,32,7,6572.11,342.63,6229.48,4,5,5,Champions
12473,29,5,3938.5499999999997,1090.32,2848.2299999999996,4,4,5,Champions
12474,17,18,7375.79,259.32,7116.47,4,5,5,Champions
12475,54,1,723.38,0.0,723.38,3,1,3,Hibernating / Lost
12476,16,11,6816.42,269.84,6546.58,4,5,5,Champions
12477,23,6,13219.74,102.72999999999999,13117.01,4,4,5,Champions
12478,4,1,680.99,0.0,680.99,5,1,3,Hibernating / Lost
12479,11,1,527.2,49.9,477.30000000000007,5,1,3,Hibernating / Lost
12480,28,4,3281.63,0.0,3281.63,4,4,5,Champions
12481,23,10,5596.32,5.46,5590.86,4,5,5,Champions
12483,17,8,2484.98,157.85,2327.13,4,5,5,Champions
12484,33,6,4541.72,46.45,4495.27,4,4,5,Champions
12488,10,3,1298.66,0.0,1298.66,5,3,4,Loyal Customers
12489,336,1,334.93,0.0,334.93,1,1,2,Hibernating / Lost
12490,5,10,5417.93,0.0,5417.93,5,5,5,Champions
12491,39,1,460.40000000000003,0.0,460.40000000000003,3,1,2,Hibernating / Lost
12492,63,2,263.21000000000004,0.0,263.21000000000004,3,2,2,Hibernating / Lost
12493,166,2,433.74,16.95,416.79,2,2,2,Hibernating / Lost
12494,16,7,1246.1000000000001,106.75,1139.3500000000001,4,5,4,Champions
12497,82,1,1043.1,0.0,1043.1,2,1,4,At Risk
12498,21,3,403.70000000000005,0.0,403.70000000000005,4,3,2,Loyal Customers
12500,23,11,4257.82,51.55,4206.2699999999995,4,5,5,Champions
12501,337,1,2169.39,79.71000000000001,2089.68,1,1,5,At Risk
12502,96,5,3723.87,0.0,3723.87,2,4,5,At Risk
12504,18,2,482.04999999999995,368.04999999999995,114.0,4,2,1,Hibernating / Lost
12506,233,1,73.5,0.0,73.5,1,1,1,Hibernating / Lost
12507,134,3,1304.81,46.75,1258.06,2,3,4,At Risk
12508,26,2,398.27,0.0,398.27,4,2,2,Hibernating / Lost
12509,284,1,176.5,0.0,176.5,1,1,1,Hibernating / Lost
12510,143,2,982.5699999999999,0.0,982.5699999999999,2,2,4,At Risk
12512,66,2,138.03,0.0,138.03,3,2,1,Hibernating / Lost
12513,113,1,612.29,25.5,586.79,2,1,3,At Risk
12514,267,1,1017.68,0.0,1017.68,1,1,4,At Risk
12515,353,1,383.7,0.0,383.7,1,1,2,Hibernating / Lost
12516,78,2,1312.06,0.0,1312.06,2,2,4,At Risk
12517,28,5,2502.84,37.949999999999996,2464.8900000000003,4,4,5,Champions
12518,1,5,2056.89,0.0,2056.89,5,4,5,Champions
12519,64,1,340.84,0.0,340.84,3,1,2,Hibernating / Lost
12520,79,5,2634.26,51.75,2582.51,2,4,5,At Risk
12521,143,1,599.68,0.0,599.68,2,1,3,At Risk
12522,39,2,192.72,0.0,192.72,3,2,1,Hibernating / Lost
12523,19,11,1789.77,44.2,1745.57,4,5,4,Champions
12524,9,8,4485.72,0.0,4485.72,5,5,5,Champions
12526,1,3,1316.66,0.0,1316.66,5,3,4,Loyal Customers
12527,82,3,348.71000000000004,0.0,348.71000000000004,2,3,2,At Risk
12528,9,6,1933.48,11.2,1922.28,5,5,4,Champions
12530,60,4,1662.28,38.650000000000006,1623.6299999999999,3,4,4,Loyal Customers
12531,15,1,125.22,0.0,125.22,4,1,1,Hibernating / Lost
12532,30,1,349.83000000000004,0.0,349.83000000000004,4,1,2,Hibernating / Lost
12534,131,1,1089.18,0.0,1089.18,2,1,4,At Risk
12535,92,2,716.35,0.0,716.35,2,2,3,At Risk
12536,43,3,12601.830000000002,8495.01,4106.8200000000015,3,3,5,Loyal Customers
12538,29,1,363.95,0.0,363.95,4,1,2,Hibernating / Lost
12539,22,4,5568.35,1715.85,3852.5000000000005,4,4,5,Champions
12540,20,17,13400.24,91.19999999999999,13309.039999999999,4,5,5,Champions
12541,30,3,981.18,0.0,981.18,4,3,4,Loyal Customers
12544,36,1,372.7,17.0,355.7,3,1,2,Hibernating / Lost
12545,75,2,1000.39,0.0,1000.39,2,2,4,At Risk
12546,47,2,1161.5,20.0,1141.5,3,2,4,Hibernating / Lost
12547,198,2,207.79999999999998,0.0,207.79999999999998,1,2,1,Hibernating / Lost
12548,166,1,95.19999999999999,0.0,95.19999999999999,2,1,1,Hibernating / Lost
12550,79,1,964.83,0.0,964.83,2,1,4,At Risk
12551,358,1,168.0,0.0,168.0,1,1,1,Hibernating / Lost
12552,39,2,437.82,0.0,437.82,3,2,2,Hibernating / Lost
12553,8,10,3692.28,40.029999999999994,3652.25,5,5,5,Champions
12556,50,2,603.71,0.0,603.71,3,2,3,Hibernating / Lost
12557,16,5,11990.960000000001,0.0,11990.960000000001,4,4,5,Champions
12558,8,1,269.96,269.96,0.0,5,1,1,Hibernating / Lost
12559,311,2,561.71,25.5,536.21,1,2,3,At Risk
12560,5,3,2134.01,32.620000000000005,2101.3900000000003,5,3,5,Loyal Customers
12561,303,1,238.85,0.0,238.85,1,1,1,Hibernating / Lost
12562,8,7,3781.7400000000002,0.0,3781.7400000000002,5,5,5,Champions
12564,261,1,456.9,0.0,456.9,1,1,2,Hibernating / Lost
12565,289,1,145.92,14.75,131.17,1,1,1,Hibernating / Lost
12566,86,1,351.65,4.95,346.7,2,1,2,Hibernating / Lost
12567,23,10,9401.28,286.34000000000003,9114.94,4,5,5,Champions
12569,2,32,4124.69,59.7,4064.99,5,5,5,Champions
12571,40,2,519.61,0.0,519.61,3,2,3,Hibernating / Lost
12572,9,2,1020.42,15.7,1004.7199999999999,5,2,4,Hibernating / Lost
12573,227,1,160.54000000000002,0.0,160.54000000000002,1,1,1,Hibernating / Lost
12574,316,1,218.45,0.0,218.45,1,1,1,Hibernating / Lost
12576,36,5,1315.83,8.850000000000001,1306.98,3,4,4,Loyal Customers
12577,35,3,657.8,62.400000000000006,595.4,3,3,3,Loyal Customers
12578,21,2,2794.51,41.15,2753.36,4,2,5,Hibernating / Lost
12579,78,1,440.42,29.7,410.72,2,1,2,Hibernating / Lost
12580,247,1,415.7,0.0,415.7,1,1,2,Hibernating / Lost
12581,40,1,197.71,0.0,197.71,3,1,1,Hibernating / Lost
12582,239,2,511.36,0.0,511.36,1,2,3,At Risk
12583,3,15,7281.38,94.03999999999999,7187.34,5,5,5,Champions
12584,4,9,2338.15,444.2,1893.95,5,5,4,Champions
12585,234,2,2040.1,57.29,1982.81,1,2,4,At Risk
12586,17,1,196.94000000000003,17.0,179.94000000000003,4,1,1,Hibernating / Lost
12587,8,1,144.0,0.0,144.0,5,1,1,Hibernating / Lost
12588,39,1,214.89999999999998,0.0,214.89999999999998,3,1,1,Hibernating / Lost
12589,29,2,646.68,0.0,646.68,4,2,3,Hibernating / Lost
12590,211,2,9864.26,2.88,9861.380000000001,1,2,5,At Risk
12591,317,1,452.84999999999997,0.0,452.84999999999997,1,1,2,Hibernating / Lost
12592,92,2,437.6,0.0,437.6,2,2,2,Hibernating / Lost
12593,109,3,418.09999999999997,0.0,418.09999999999997,2,3,2,At Risk
12594,38,10,3338.2200000000003,18.0,3320.2200000000003,3,5,5,Loyal Customers
12596,51,2,618.27,0.0,618.27,3,2,3,Hibernating / Lost
12597,19,4,3811.22,128.09,3683.1299999999997,4,4,5,Champions
12598,10,8,3023.08,20.4,3002.68,5,5,5,Champions
12599,29,7,1032.58,0.0,1032.58,4,5,4,Champions
12600,29,10,2599.04,18.0,2581.04,4,5,5,Champions
12601,190,5,577.0600000000001,7.5,569.5600000000001,1,4,3,At Risk
12602,59,1,153.12,0.0,153.12,3,1,1,Hibernating / Lost
12603,22,1,739.1999999999999,0.0,739.1999999999999,4,1,3,Hibernating / Lost
12604,79,2,254.18,0.0,254.18,2,2,2,Hibernating / Lost
12607,60,1,1579.51,1579.51,0.0,3,1,1,Hibernating / Lost
12609,78,3,1126.85,0.0,1126.85,2,3,4,At Risk
12610,23,5,2099.54,41.55,2057.99,4,4,5,Champions
12611,52,1,1193.32,0.0,1193.32,3,1,4,Hibernating / Lost
12612,74,1,704.0400000000001,60.45,643.59,2,1,3,At Risk
12613,57,5,3344.38,125.4,3218.98,3,4,5,Loyal Customers
12614,278,1,315.6,0.0,315.6,1,1,2,Hibernating / Lost
12615,2,4,2291.19,0.0,2291.19,5,4,5,Champions
12616,95,2,713.3,56.05,657.25,2,2,3,At Risk
12617,29,1,355.53,0.0,355.53,4,1,2,Hibernating / Lost
12618,22,1,177.31,0.0,177.31,4,1,1,Hibernating / Lost
12619,16,9,3641.24,426.43,3214.81,4,5,5,Champions
12620,15,3,1339.41,0.0,1339.41,4,3,4,Loyal Customers
12621,2,20,13689.67,77.60000000000001,13612.07,5,5,5,Champions
12622,232,1,180.1,0.0,180.1,1,1,1,Hibernating / Lost
12623,276,1,305.1,0.0,305.1,1,1,2,Hibernating / Lost
12624,106,2,641.13,0.0,641.13,2,2,3,At Risk
12625,212,2,2683.82,69.5,2614.32,1,2,5,At Risk
12626,23,9,6620.48,232.13,6388.349999999999,4,5,5,Champions
12627,11,7,4478.53,0.0,4478.53,5,5,5,Champions
12628,4,3,786.46,16.85,769.61,5,3,3,Loyal Customers
12630,10,2,1270.88,0.0,1270.88,5,2,4,Hibernating / Lost
12631,57,1,640.5,0.0,640.5,3,1,3,Hibernating / Lost
12633,59,4,2163.98,23.35,2140.63,3,4,5,Loyal Customers
12635,90,2,1689.18,0.0,1689.18,2,2,4,At Risk
12637,67,8,6021.9,68.65,5953.25,3,5,5,Loyal Customers
12638,33,1,671.69,0.0,671.69,4,1,3,Hibernating / Lost
12639,239,1,486.1,0.0,486.1,1,1,3,At Risk
12640,24,3,1174.58,0.0,1174.58,4,3,4,Loyal Customers
12641,115,1,185.9,0.0,185.9,2,1,1,Hibernating / Lost
12642,25,3,1013.26,0.0,1013.26,4,3,4,Loyal Customers
12643,128,6,3344.64,0.0,3344.64,2,5,5,At Risk
12644,130,1,477.91,0.0,477.91,2,1,3,At Risk
12645,34,4,1775.18,19.799999999999997,1755.38,3,4,4,Loyal Customers
12646,5,2,1346.97,0.0,1346.97,5,2,4,Hibernating / Lost
12647,22,12,3722.82,52.9,3669.92,4,5,5,Champions
12648,155,1,318.05,0.0,318.05,2,1,2,Hibernating / Lost
12649,107,3,623.51,19.799999999999997,603.71,2,3,3,At Risk
12650,3,1,314.44,0.0,314.44,5,1,2,Hibernating / Lost
12651,335,1,114.0,0.0,114.0,1,1,1,Hibernating / Lost
12652,331,1,919.98,5.45,914.53,1,1,3,At Risk
12653,149,2,2209.85,0.0,2209.85,2,2,5,At Risk
12654,11,5,601.98,0.0,601.98,5,4,3,Loyal Customers
12656,17,5,4051.17,68.45,3982.7200000000003,4,4,5,Champions
12657,11,4,1643.18,491.12,1152.06,5,4,4,Champions
12658,19,1,686.05,0.0,686.05,4,1,3,Hibernating / Lost
12659,30,1,91.68,0.0,91.68,4,1,1,Hibernating / Lost
12660,11,1,245.1,0.0,245.1,5,1,2,Hibernating / Lost
12662,1,11,3849.78,32.699999999999996,3817.0800000000004,5,5,5,Champions
12664,8,9,4881.88,18.0,4863.88,5,5,5,Champions
12665,325,1,63.0,1.25,61.75,1,1,1,Hibernating / Lost
12667,58,1,620.13,0.0,620.13,3,1,3,Hibernating / Lost
12668,12,4,3807.15,63.97,3743.1800000000003,5,4,5,Champions
12669,151,3,2744.0299999999997,1136.3,1607.7299999999998,2,3,4,At Risk
12670,10,5,2996.05,9.9,2986.15,5,4,5,Champions
12672,330,1,225.89999999999998,0.0,225.89999999999998,1,1,1,Hibernating / Lost
12673,5,2,610.52,0.0,610.52,5,2,3,Hibernating / Lost
12674,39,4,1970.6,51.29,1919.31,3,4,4,Loyal Customers
12676,25,6,1331.39,0.0,1331.39,4,5,4,Champions
12678,42,12,17628.46,40.2,17588.26,3,5,5,Loyal Customers
12679,59,4,1113.02,54.35,1058.67,3,4,4,Loyal Customers
12680,1,4,862.81,0.0,862.81,5,4,3,Loyal Customers
12681,15,22,13787.54,109.94999999999999,13677.59,4,5,5,Champions
12682,4,31,12288.22,0.0,12288.22,5,5,5,Champions
12683,4,15,8476.57,255.48,8221.09,5,5,5,Champions
12684,8,7,2283.63,0.0,2283.63,5,5,5,Champions
12685,28,6,2863.08,0.0,2863.08,4,5,5,Champions
12686,372,1,89.14,0.0,89.14,1,1,1,Hibernating / Lost
12688,114,1,4873.8099999999995,0.0,4873.8099999999995,2,1,5,At Risk
12689,26,2,1247.61,0.0,1247.61,4,2,4,Hibernating / Lost
12690,206,1,389.01,0.0,389.01,1,1,2,Hibernating / Lost
12691,28,6,1035.8,0.0,1035.8,4,5,4,Champions
12693,127,4,855.91,24.95,830.9599999999999,2,4,3,At Risk
12694,70,2,869.67,0.0,869.67,3,2,3,Hibernating / Lost
12695,7,4,582.1,0.0,582.1,5,4,3,Loyal Customers
12697,29,3,957.59,18.57,939.02,4,3,4,Loyal Customers
12700,8,4,4939.99,72.0,4867.99,5,4,5,Champions
12701,80,2,797.71,0.0,797.71,2,2,3,At Risk
12702,20,1,219.0,0.0,219.0,4,1,1,Hibernating / Lost
12703,71,1,283.55,8.850000000000001,274.7,3,1,2,Hibernating / Lost
12704,7,8,2340.84,120.0,2220.84,5,5,5,Champions
12705,15,9,6868.29,54.050000000000004,6814.24,4,5,5,Champions
12707,292,1,603.42,0.0,603.42,1,1,3,At Risk
12708,30,10,2712.91,96.59,2616.3199999999997,4,5,5,Champions
12709,15,15,9736.52,442.42,9294.1,4,5,5,Champions
12710,97,3,1149.02,18.45,1130.57,2,3,4,At Risk
12712,29,13,4396.13,154.5,4241.63,4,5,5,Champions
12713,1,1,848.55,0.0,848.55,5,1,3,Hibernating / Lost
12714,9,5,4708.86,0.0,4708.86,5,4,5,Champions
12715,106,1,353.86,0.0,353.86,2,1,2,Hibernating / Lost
12716,4,2,1053.49,0.0,1053.49,5,2,4,Hibernating / Lost
12717,151,2,1030.98,50.0,980.98,2,2,4,At Risk
12718,71,1,238.25,0.0,238.25,3,1,1,Hibernating / Lost
12719,5,2,644.95,36.85000000000001,608.1,5,2,3,Hibernating / Lost
12720,3,25,5781.73,68.45,5713.28,5,5,5,Champions
12721,32,6,2656.13,27.15,2628.98,4,5,5,Champions
12722,85,4,997.63,93.3,904.33,2,4,3,At Risk
12723,4,5,725.07,0.0,725.07,5,4,3,Loyal Customers
12724,5,4,1031.41,0.0,1031.41,5,4,4,Champions
12725,371,1,427.8,0.0,427.8,1,1,2,Hibernating / Lost
12726,28,7,2609.1,0.0,2609.1,4,5,5,Champions
12727,11,7,3980.7,33.0,3947.7,5,5,5,Champions
12728,71,4,836.33,0.0,836.33,3,4,3,Loyal Customers
12729,114,1,453.01,0.0,453.01,2,1,2,Hibernating / Lost
12731,24,12,18895.91,102.5,18793.41,4,5,5,Champions
12732,180,1,236.26000000000002,0.0,236.26000000000002,1,1,1,Hibernating / Lost
12733,234,1,383.95,0.0,383.95,1,1,2,Hibernating / Lost
12734,353,1,110.39999999999999,0.0,110.39999999999999,1,1,1,Hibernating / Lost
12735,315,2,779.5699999999999,0.0,779.5699999999999,1,2,3,At Risk
12736,333,1,234.0,0.0,234.0,1,1,1,Hibernating / Lost
12738,372,1,155.35,0.0,155.35,1,1,1,Hibernating / Lost
12739,78,2,1013.04,0.0,1013.04,2,2,4,At Risk
12740,64,1,427.6,0.0,427.6,3,1,2,Hibernating / Lost
12743,134,2,546.43,0.0,546.43,2,2,3,At Risk
12744,52,7,21279.29,12158.9,9120.390000000001,3,5,5,Loyal Customers
12747,2,11,4196.01,0.0,4196.01,5,5,5,Champions
12748,1,209,33719.73,4647.63,29072.100000000002,5,5,5,Champions
12749,4,5,4090.88,222.68,3868.2000000000003,5,4,5,Champions
12750,129,1,275.88,0.0,275.88,2,1,2,Hibernating / Lost
12752,81,1,4366.78,0.0,4366.78,2,1,5,At Risk
12753,23,6,21429.39,405.38,21024.01,4,5,5,Champions
12754,236,3,3010.74,61.620000000000005,2949.12,1,3,5,At Risk
12755,281,2,3811.95,1608.7499999999998,2203.2,1,2,5,At Risk
12756,87,1,112.07999999999998,0.0,112.07999999999998,2,1,1,Hibernating / Lost
12757,16,13,7857.1,3629.4,4227.700000000001,4,5,5,Champions
12758,117,2,2791.59,0.0,2791.59,2,2,5,At Risk
12759,52,3,1531.44,0.0,1531.44,3,3,4,Loyal Customers
12762,8,2,1898.52,0.0,1898.52,5,2,4,Hibernating / Lost
12763,138,2,494.08,0.0,494.08,2,2,3,At Risk
12764,317,1,1693.88,0.0,1693.88,1,1,4,At Risk
12766,4,7,6989.63,0.0,6989.63,5,5,5,Champions
12769,239,1,1143.6,0.0,1143.6,1,1,4,At Risk
12770,211,1,1351.45,0.0,1351.45,1,1,4,At Risk
12772,60,1,892.47,0.0,892.47,3,1,3,Hibernating / Lost
12775,17,5,1386.04,34.8,1351.24,4,4,4,Champions
12778,20,6,822.23,18.0,804.23,4,5,3,Loyal Customers
12779,38,8,3981.36,112.66,3868.7000000000003,3,5,5,Loyal Customers
12781,64,2,826.74,119.02,707.72,3,2,3,Hibernating / Lost
12782,5,5,2330.92,57.6,2273.32,5,4,5,Champions
12783,2,6,2225.91,622.04,1603.87,5,5,4,Champions
12784,9,2,574.42,0.0,574.42,5,2,3,Hibernating / Lost
12785,364,1,311.95,6.24,305.71,1,1,2,Hibernating / Lost
12787,10,3,463.66,0.0,463.66,5,3,2,Loyal Customers
12789,65,1,91.85,0.0,91.85,3,1,1,Hibernating / Lost
12790,192,1,324.92,0.0,324.92,1,1,2,Hibernating / Lost
12791,374,1,192.60000000000002,0.0,192.60000000000002,1,1,1,Hibernating / Lost
12792,257,1,400.53999999999996,0.0,400.53999999999996,1,1,2,Hibernating / Lost
12793,335,2,545.48,0.0,545.48,1,2,3,At Risk
12794,53,2,860.41,0.0,860.41,3,2,3,Hibernating / Lost
12795,19,1,430.48,0.0,430.48,4,1,2,Hibernating / Lost
12797,366,1,254.03,59.85,194.18,1,1,1,Hibernating / Lost
12798,10,3,6977.04,0.0,6977.04,5,3,5,Loyal Customers
12802,187,1,427.58,15.0,412.58,1,1,2,Hibernating / Lost
12808,37,3,483.65000000000003,0.0,483.65000000000003,3,3,3,Loyal Customers
12809,178,1,489.31,4.95,484.36,2,1,3,At Risk
12811,261,3,514.85,0.0,514.85,1,3,3,At Risk
12812,45,1,229.64000000000001,0.0,229.64000000000001,3,1,1,Hibernating / Lost
12814,102,1,125.92,0.0,125.92,2,1,1,Hibernating / Lost
12815,148,2,1063.46,0.0,1063.46,2,2,4,At Risk
12816,96,2,572.2,0.0,572.2,2,2,3,At Risk
12817,281,1,166.04,0.0,166.04,1,1,1,Hibernating / Lost
12818,262,1,1542.08,24.2,1517.8799999999999,1,1,4,At Risk
12820,3,4,942.34,0.0,942.34,5,4,4,Champions
12821,214,1,92.72,0.0,92.72,1,1,1,Hibernating / Lost
12822,71,2,948.88,29.9,918.98,3,2,4,Hibernating / Lost
12823,75,5,1759.5,0.0,1759.5,2,4,4,At Risk
12824,60,1,397.12,0.0,397.12,3,1,2,Hibernating / Lost
12826,3,7,1474.72,6.6,1468.1200000000001,5,5,4,Champions
12827,6,3,430.15000000000003,0.0,430.15000000000003,5,3,2,Loyal Customers
12828,3,6,1018.71,0.0,1018.71,5,5,4,Champions
12829,337,2,293.0,39.95,253.05,1,2,2,Hibernating / Lost
12830,38,6,6814.64,66.24,6748.400000000001,3,5,5,Loyal Customers
12831,262,1,215.05,0.0,215.05,1,1,1,Hibernating / Lost
12832,32,2,383.03,0.0,383.03,4,2,2,Hibernating / Lost
12833,145,1,417.38,0.0,417.38,2,1,2,Hibernating / Lost
12834,283,1,312.38,0.0,312.38,1,1,2,Hibernating / Lost
12836,59,4,2612.86,0.0,2612.86,3,4,5,Loyal Customers
12837,173,1,134.1,0.0,134.1,2,1,1,Hibernating / Lost
12838,34,2,683.13,0.0,683.13,3,2,3,Hibernating / Lost
12839,3,14,5591.42,7.8,5583.62,5,5,5,Champions
12840,144,4,2726.77,12.5,2714.27,2,4,5,At Risk
12841,5,25,4022.35,145.95000000000002,3876.4,5,5,5,Champions
12842,70,2,1118.99,0.0,1118.99,3,2,4,Hibernating / Lost
12843,66,8,1702.26,21.5,1680.76,3,5,4,Loyal Customers
12844,29,2,325.96000000000004,0.0,325.96000000000004,4,2,2,Hibernating / Lost
12845,267,4,354.09,0.0,354.09,1,4,2,At Risk
12847,22,1,871.54,0.0,871.54,4,1,3,Hibernating / Lost
12849,31,2,1050.8899999999999,0.0,1050.8899999999999,4,2,4,Hibernating / Lost
12851,97,1,135.18,0.0,135.18,2,1,1,Hibernating / Lost
12852,295,1,311.55,11.8,299.75,1,1,2,Hibernating / Lost
